Trade Date,Trade Quantity,Trade Price,Trade Currency
18/01/2012,180,19.47,USD
19/01/2012,54,19.87,USD
23/01/2012,286,20.03,USD
01/02/2012,340,18.44,USD
06/02/2012,60,18.3,USD
17/02/2012,280,19.95,USD
28/02/2012,290,19.03,USD
04/04/2012,340,18.25,USD
17/04/2012,150,16.78,USD
18/04/2012,140,16.5,USD
27/07/2012,-260,19.35,USD
09/11/2012,330,16.4,USD
08/01/2013,240,17.24,USD
09/01/2013,10,17.2,USD
10/01/2013,130,17.31,USD
25/07/2014,120,21.62,USD
28/07/2014,390,21.56,USD
11/08/2015,790,14.27,USD
02/09/2015,290,12.81,USD
24/11/2015,-570,12.29,USD
25/11/2015,-280,12.55,USD
28/12/2015,250,10.82,USD
29/12/2015,370,10.87,USD
30/12/2015,130,11.4,USD
09/03/2016,1020,8.56,USD
11/03/2016,1110,7.71,USD
20/04/2016,650,7.6,USD
21/04/2016,600,7.61,USD
19/08/2016,-10,10.4,USD
23/08/2016,-480,10.39,USD
24/08/2016,-50,10.4,USD
01/09/2016,-90,10.06,USD
02/09/2016,-260,10.12,USD
11/09/2017,340,7.7,USD
12/09/2017,190,7.86,USD
13/09/2017,410,7.96,USD
14/09/2017,410,7.98,USD
15/09/2017,160,8.01,USD
18/09/2017,70,8.01,USD
19/09/2017,110,8.21,USD
20/09/2017,100,8.22,USD
06/12/2017,280,7.72,USD
07/12/2017,300,7.85,USD
14/12/2017,320,7.86,USD
03/01/2018,500,8.32,USD
06/02/2018,570,8.31,USD
07/02/2018,370,8.35,USD
08/02/2018,410,8.35,USD
10/07/2018,-1220,14.56,USD
11/07/2018,-40,14.5,USD
12/07/2018,-20,14.45,USD
13/07/2018,-40,14.48,USD
17/07/2018,-50,14.18,USD
23/07/2018,-40,14.18,USD
24/07/2018,-10,14.3,USD
01/08/2018,-1210,14.76,USD
02/08/2018,-1010,14.77,USD
09/08/2018,-80,16.19,USD
10/08/2018,-180,15.8,USD
13/08/2018,-220,15.58,USD
14/08/2018,-700,15.51,USD
15/08/2018,-6270,14.87,USD
